338,1538,"{3906, 7473, 16285, 16288}"
339,1006,{175}
340,381,{15975}
341,881,{16065}
342,1723,{16067}
343,2013,{16069}
344,236,{16082}
345,3076,{182}
346,267,{183}
347,242,{186}
348,2169,"{5464, 18228}"
349,2190,{18268}
350,2415,{207}
351,2647,{16685}
352,1290,{229}
353,2022,{253}
354,1643,{259}
355,2966,{271}
356,2562,{17202}
357,2610,"{17049, 14722, 16530, 7931, 17040}"
358,2185,{17126}
359,2351,{17134}
360,1974,{17136}
361,1153,{17184}
362,961,{17197}
363,283,{529}
364,465,{575}
365,449,{596}
366,2690,{605}
367,2195,"{647, 624, 688, 653}"
368,2753,{17673}
369,2308,{17692}
370,898,"{12572, 17744, 12577}"
371,291,"{16497, 678}"
372,1959,{703}
373,453,{715}
374,1824,{782}
375,973,{792}
376,2756,"{799, 8042, 9718, 9712}"
377,774,{852}
378,207,{4029}
379,1092,"{928, 4398, 4427, 4389, 13114}"
380,1062,{938}
381,2922,{946}
382,3016,"{964, 103, 9991, 10011}"
383,1334,"{13502, 17981}"
384,528,{18007}
385,2489,{91}
386,1024,{127}
387,3033,{131}
388,2496,{140}
389,135,{154}
390,261,{161}
391,200,"{1016, 1043, 1024, 1020, 1070, 9822, 1015, 1058, 1052, 1057}"
392,1321,"{1040, 1048, 1111, 1068, 1072, 1054}"
393,1216,{1078}
394,556,{1103}
395,1666,{1120}
396,434,"{1121, 4072}"
397,3064,{1203}
398,2988,{1219}
399,1184,"{1234, 3422, 1275, 1268}"
400,1318,{1242}
401,1577,{1254}
402,520,{1320}
403,2697,"{1335, 14814}"
404,1665,{1360}
405,1500,{1373}
406,1040,"{5493, 18196, 1578}"
407,1484,{1585}
408,1625,{1597}
409,1282,{1612}
410,2959,"{14929, 1624}"
411,2701,{1668}
412,936,"{1681, 1735}"
413,1619,{1733}
414,2198,{1734}
415,987,{1740}
416,877,"{1876, 1870}"
417,1174,{1873}
418,1698,{1933}
419,464,{1947}
420,442,{1991}
421,1941,"{2144, 14951}"
422,1710,{2150}
423,1105,{2196}
424,2349,{2466}
425,1740,{2244}
426,950,{2289}
427,3040,{2331}
428,2061,{2345}
429,1512,"{2434, 2388, 2449}"
430,1673,"{13773, 2395}"
431,116,"{2422, 17813, 2420}"
432,364,{2546}
433,1341,"{2558, 18112, 18115}"
434,2516,{2560}
435,2509,"{2703, 2750}"
436,955,{2714}
437,1972,{2736}
438,2465,"{2709, 2742}"
439,1551,{2789}
440,132,{2795}
441,1789,"{2812, 14461}"
442,2599,{2841}
443,1089,{2901}
444,548,{2917}
445,7,{2923}
446,1122,{2924}
447,1422,{2944}
448,1141,{2962}
449,639,"{8560, 9486, 8574, 9487, 8561, 3028}"
450,20,{3038}
451,655,{3039}
452,1632,"{3114, 3085}"
453,2826,"{3112, 3090, 4373}"
454,2473,{3104}
455,1221,{3116}
456,509,{3126}
457,2446,{3139}
458,484,{3183}
459,163,{3191}
460,983,{3318}
461,1486,{3319}
462,1639,{3389}
463,1059,{3394}
464,483,{3397}
465,963,"{13281, 3410, 13989}"
466,1147,{3413}
467,1477,"{8683, 3457, 3437}"
468,268,{3520}
469,330,{3522}
470,2563,"{3532, 14694}"
471,3011,{3547}
472,272,{3558}
473,1295,{3627}
474,2845,{3739}
475,2159,{3771}
476,887,{3786}
477,1755,{3846}
478,181,{3865}
479,1683,{3878}
480,54,{3880}
481,448,{3922}
482,2608,{3927}
483,1681,{3982}
484,2663,{3997}
485,1831,{4008}
486,374,{4051}
487,3047,{4071}
488,721,"{4118, 4238}"
489,1961,"{4131, 4136}"
490,2685,{4147}
491,59,"{4234, 4237, 4230}"
492,1531,{4254}
493,2261,{4332}
494,2356,{4346}
495,66,{4354}
496,2479,"{4390, 4454, 4399}"
497,659,"{4400, 4450}"
498,1930,"{4525, 4512, 4520, 8285, 6780, 4597, 4510, 4519, 4524}"
499,2733,"{4546, 4592}"
500,416,{4594}
501,2438,"{4608, 4599, 4607}"
502,32,{4604}
503,949,"{15608, 4807}"
504,1291,{4862}
505,3029,{5016}
506,320,{5029}
507,1314,"{3445, 5090}"
508,841,{5112}
509,384,{5123}
510,1695,"{5229, 5205, 5217}"
511,252,{5420}
512,2677,{5422}
513,2486,"{5497, 5454}"
514,134,"{18206, 5483}"
515,1281,{5491}
516,2470,{5494}
517,2048,{5511}
518,1892,{5512}
519,833,{5576}
520,2445,{5585}
521,1602,{5608}
522,893,{5680}
523,1463,{5694}
524,2965,{5717}
525,185,{5737}
526,301,{5910}
527,2829,{5979}
528,2002,{5994}
529,3073,{6011}
530,1358,{6039}
531,2780,"{6055, 6084}"
532,2775,{6066}
533,387,{6075}
534,470,{6082}
535,1882,{6087}
536,1677,"{17274, 6325}"
537,217,{6352}
538,817,{6367}
539,1925,"{6403, 6398}"
540,1156,{6414}
541,1292,{6422}
542,2657,{6459}
543,2396,{6462}
544,120,{6707}
545,199,{6714}
546,526,{6719}
547,73,"{6744, 6724, 6748}"
548,1355,{6732}
549,1963,{6849}
550,1550,{6859}
551,2748,"{17914, 17925, 6889, 6896, 6886}"
552,1278,{7020}
553,423,"{7028, 7032}"
554,2699,{7035}
555,952,{7048}
556,2992,{7053}
557,1678,{7080}
558,1750,{7114}
559,93,{7116}
560,2543,{7121}
561,338,{7160}
562,1466,{7188}
563,2149,{7256}
